x,y
5.53,3.11
1.28,2.5
0.84,3.58
0.62,2.4
1.24,0.3
4.72,0.49
1.9,1.6
5.24,2.71
4.99,2.59
1.22,3.93
1.45,3.26
0.59,1.65
5.53,2.56
4.98,2.0
4.64,0.82
0.28,2.41
2.81,2.14
2.65,1.49
5.98,2.4
3.13,1.09
2.07,3.75
2.62,3.33
4.05,2.77
5.42,0.18
0.74,3.11
0.1,3.53
2.19,1.64
1.77,2.33
2.78,1.52
4.03,0.36
0.52,3.59
1.54,2.75
0.65,0.37
3.55,2.86
4.4,3.13
5.06,3.83
4.79,1.65
4.89,0.72
3.58,2.82
5.46,0.5
3.55,3.21
1.52,0.49
4.25,2.13
5.55,1.84
2.59,2.54
5.48,2.17
5.19,2.85
4.5,3.42
5.67,3.84
5.5,3.21
3.24,2.75
0.72,1.89
4.74,0.2
1.04,1.89
0.31,1.44
4.71,0.44
0.51,3.51
4.82,1.11
4.06,3.82
3.25,2.46
4.08,0.04
3.9,2.67
3.7,3.43
3.79,0.14
2.03,2.33
2.94,2.94
5.68,0.88
1.32,1.25
0.51,1.2
4.64,2.02
0.05,1.59
5.6,2.9
1.71,2.68
0.1,3.41
5.16,2.35
4.09,1.64
1.24,3.55
1.02,2.11
4.33,0.55
1.35,2.38
0.76,0.32
3.39,0.32
3.37,1.83
1.34,1.75
1.58,3.36
1.87,2.62
1.45,1.94
4.4,2.4
0.29,1.03
1.18,3.67
5.32,0.52
2.24,3.68
3.32,3.51
2.91,2.54
2.19,0.65
3.8,3.28
0.51,1.04
1.03,2.55
0.41,1.8
0.29,1.33
1.49,0.51
3.42,0.77
2.35,2.19
1.34,3.47
5.98,0.97
1.89,0.03
3.34,3.95
5.38,0.44
2.8,1.98
0.79,1.67
4.28,3.28
3.39,2.63
3.82,3.46
5.81,1.84
2.83,0.98
2.03,1.18
0.47,0.89
2.06,3.49
1.57,1.47
0.29,0.11
2.06,0.5
5.97,1.03
1.18,1.67
4.74,1.01
4.69,0.4
1.22,3.67
2.08,0.0
2.42,2.77
4.87,0.27
2.11,0.46
3.48,0.68
3.54,3.97
5.57,3.36
3.58,3.05
2.26,1.73
3.95,0.24
5.95,3.75
4.43,3.2
1.73,3.81
0.65,2.4
3.52,0.39
3.86,2.98
5.66,2.24
3.18,1.55
2.81,0.9
4.81,0.82
4.58,1.45
3.28,0.99
2.34,2.7
5.32,1.27
4.78,0.09
4.56,3.14
5.19,0.47
2.44,1.59
1.99,0.13
5.62,1.26
3.66,1.45
4.7,1.12
1.2,2.18
5.37,2.28
4.45,3.54
2.91,0.53
5.58,2.23
4.94,0.4
5.98,3.84
0.12,2.84
0.95,2.26
0.01,1.87
2.98,2.54
5.63,1.38
5.78,3.77
0.86,2.54
5.25,3.74
0.82,0.53
0.16,2.62
5.01,0.65
4.62,0.11
0.67,0.46
4.72,0.46
4.77,0.38
5.93,1.1
5.84,1.64
5.97,0.88
5.58,2.75
5.18,1.45
2.02,2.41
1.96,3.77
2.37,1.21
3.61,3.83
2.6,3.38
5.78,3.9
0.9,0.69
3.88,2.32
0.21,1.82
1.91,1.22
4.38,3.34
2.09,2.48
0.33,0.06
1.69,2.92
1.06,1.75
2.87,2.81
5.37,0.77
4.11,2.77
2.43,0.92
2.11,3.44
5.48,3.35
5.24,3.73
2.54,3.7
3.79,0.6
3.63,0.23
3.22,3.36
1.03,3.1
0.42,2.88
1.94,1.32
1.47,2.06
5.49,1.98
4.32,1.91
4.02,3.37
1.8,3.61
2.73,1.7
2.57,3.23
5.22,2.5
5.18,2.09
3.53,2.21
3.73,0.15
4.62,0.76
2.86,2.62
3.44,1.1
4.08,2.38
1.5,2.76
2.51,0.06
3.29,0.11
2.55,0.13
1.27,3.46
3.22,0.96
0.87,0.68
3.19,1.5
2.59,1.06
2.81,3.09
4.53,2.88
5.14,1.95
5.56,2.01
2.58,3.76
1.11,3.55
0.12,1.48
3.8,2.19
5.71,1.12
3.96,1.82
4.36,2.51
3.26,1.27
1.44,1.96
2.43,1.74
3.88,2.01
3.65,0.25
0.52,1.91
1.68,2.5
5.26,0.72
0.17,1.2
2.7,1.69
1.1,3.69
1.58,1.34
4.59,1.19
0.94,3.32
1.25,2.21
0.79,0.25
2.32,1.51
2.13,3.83
4.52,2.24
1.24,2.66
3.48,2.09
3.92,0.6
0.5,0.87
4.48,3.99
5.61,0.2
0.52,3.62
0.34,0.91
1.18,1.08
5.09,1.44
1.94,2.93
5.85,3.29
5.23,2.17
3.83,3.99
4.71,0.53
4.84,0.67
2.89,1.32
1.41,2.22
3.45,1.01
1.38,2.8
3.04,0.05
0.08,0.62
2.29,0.16
1.42,0.99
4.42,3.98
3.93,1.99
4.63,3.83
1.53,0.38
2.86,3.28
0.6,3.12
3.13,2.35
0.22,1.39
1.38,2.51
5.77,3.73
5.44,2.63
4.44,1.01
5.34,2.95
5.97,3.86
0.67,1.43
5.92,1.28
4.28,0.77
2.71,1.65
0.92,3.88
4.89,1.58
3.72,2.2
2.73,0.56
0.01,0.57
4.67,0.27
3.61,1.22
4.14,3.94
4.74,1.52
3.99,0.08
1.67,2.55
0.41,0.18
1.71,2.27
3.19,0.86
5.29,1.85
0.92,2.25
0.09,2.29
0.44,0.2
1.21,3.77
2.95,2.71
4.42,1.07
2.97,3.43
1.72,3.62
1.07,2.27
0.76,2.16
2.46,1.4
5.56,3.5
1.48,2.8
5.27,0.28
2.68,3.77
1.28,2.6
4.47,0.98
3.59,4.0
3.38,0.2
