x,y
11.95,2.87
12.94,0.86
14.55,1.48
7.45,0.08
8.05,0.07
24.84,2.23
13.42,0.68
16.38,3.68
12.82,1.3
12.34,0.28
18.2,2.05
18.73,2.26
23.14,3.64
17.3,2.9
15.49,1.73
19.75,3.61
12.6,0.68
10.19,2.44
13.42,0.21
10.89,1.4
23.77,0.63
21.45,1.03
19.94,2.4
10.91,3.0
23.76,0.17
9.38,2.69
19.32,2.1
11.29,2.77
11.82,1.43
17.57,3.71
23.77,2.6
21.58,0.75
8.5,0.38
9.39,1.97
11.97,2.13
18.01,3.89
10.1,3.81
13.49,2.54
20.68,2.0
17.98,3.73
14.94,1.29
12.89,2.24
11.82,0.1
21.02,1.64
16.22,3.23
22.56,0.54
24.49,1.66
11.46,1.56
22.97,1.42
13.19,1.41
9.28,3.87
24.62,3.33
12.82,1.28
8.93,3.56
7.1,0.31
12.85,2.46
13.1,0.04
7.72,1.65
7.32,3.74
7.96,3.67
7.11,2.23
7.33,1.95
11.99,3.28
19.55,3.81
14.96,0.57
10.35,1.0
10.2,0.43
12.83,1.57
18.77,3.76
12.36,0.71
20.36,2.04
8.23,3.71
18.78,1.15
17.75,2.51
21.22,0.7
7.63,2.92
7.09,3.84
24.09,0.01
10.78,2.46
14.3,3.42
10.55,2.27
10.67,2.67
22.53,2.65
22.54,3.15
16.53,1.68
7.2,0.08
23.45,3.56
19.03,2.67
14.11,1.62
17.12,1.25
18.06,0.63
24.87,3.78
9.48,2.88
24.58,0.52
22.01,1.1
13.4,1.83
22.97,2.02
12.58,2.56
22.49,3.76
11.62,0.8
7.5,2.75
14.3,3.97
11.92,1.61
13.58,1.07
11.04,2.55
8.06,2.05
23.29,2.18
22.22,2.99
9.7,1.65
11.05,2.18
10.43,1.24
19.22,2.27
13.08,2.75
11.17,0.37
14.83,2.83
8.47,2.07
21.57,2.63
11.1,2.5
21.07,3.1
13.33,3.97
14.09,2.04
13.13,2.76
23.59,0.99
20.7,0.78
23.11,1.07
11.6,0.75
21.8,3.34
12.86,3.1
16.4,0.22
10.69,1.87
7.38,1.33
17.09,0.85
11.22,0.55
17.36,2.41
11.62,3.84
17.09,1.62
23.64,1.1
18.04,1.92
15.69,2.71
7.21,0.86
17.46,0.83
24.12,2.32
16.84,1.51
24.55,0.11
22.56,1.37
23.63,2.32
8.11,0.58
16.74,1.97
20.15,3.94
23.22,0.66
11.89,0.29
19.75,0.19
7.62,2.48
8.94,2.62
23.73,0.99
8.37,3.56
11.7,0.5
18.71,1.41
15.67,3.75
10.62,1.86
21.38,3.74
20.21,2.89
8.72,0.3
19.97,2.75
14.4,2.05
11.93,3.15
12.53,2.33
17.51,1.69
